14:8:28,21200,2906,857,10,
14:8:28,21300,2925,864,10,
14:8:28,21400,2938,869,12,
14:8:28,21500,2946,872,12,
14:8:28,21600,2956,880,12,
14:8:28,21700,2980,895,12,
14:8:28,21800,2994,902,12,
14:8:28,21900,3002,905,12,
14:8:28,22000,3017,908,12,
14:8:29,22100,3035,915,12,
14:8:29,22200,3054,917,12,
14:8:29,22300,3069,919,12,
14:8:29,22400,3081,924,12,
14:8:29,22500,3101,926,12,
14:8:29,22600,3112,930,12,
14:8:29,22700,3123,934,12,
14:8:29,22800,3138,939,12,
14:8:29,22900,3154,942,12,
14:8:29,23000,3163,952,12,
14:8:29,23100,3174,958,12,
14:8:29,23200,3183,962,12,
14:8:29,23300,3200,967,12,
14:8:29,23400,3221,973,12,
14:8:29,23500,3242,975,12,
14:8:29,23600,3249,979,12,
14:8:29,23700,3267,982,12,
14:8:29,23800,3280,987,12,
14:8:29,23900,3299,992,12,
14:8:29,24000,3317,994,12,
14:8:29,24100,3336,1000,12,
14:8:30,24200,3347,1002,12,
14:8:30,24300,3357,1005,14,
14:8:30,24400,3369,1011,14,
14:8:30,24500,3388,1016,14,
14:8:30,24600,3405,1019,16,
14:8:30,24700,3419,1020,16,
14:8:30,24800,3433,1027,16,
14:8:30,24900,3449,1037,16,
14:8:30,25000,3462,1037,16,
14:8:30,25100,3472,1038,16,
14:8:30,25200,3485,1041,16,
14:8:30,25300,3496,1046,16,
14:8:30,25400,3509,1054,16,
14:8:30,25500,3520,1059,16,
14:8:30,25600,3526,1061,16,
14:8:30,25700,3542,1066,18,
14:8:30,25800,3550,1068,18,
14:8:30,25900,3569,1073,18,
14:8:30,26000,3578,1078,18,
14:8:30,26100,3588,1080,18,
14:8:30,26200,3595,1083,18,
14:8:31,26300,3615,1091,18,
14:8:31,26400,3631,1096,18,
14:8:31,26500,3646,1096,18,
14:8:31,26600,3658,1097,18,
14:8:31,26700,3673,1099,18,
14:8:31,26800,3689,1103,18,
14:8:31,26900,3712,1109,18,
14:8:31,27000,3726,1110,18,
14:8:31,27100,3735,1113,18,
14:8:31,27200,3746,1116,18,
14:8:31,27300,3766,1120,18,
14:8:31,27400,3776,1123,18,
14:8:31,27500,3789,1124,18,
14:8:31,27600,3796,1127,18,
14:8:31,27700,3822,1132,18,
14:8:31,27800,3836,1135,18,
14:8:31,27900,3849,1137,18,
14:8:31,28000,3863,1142,18,
14:8:31,28100,3878,1151,18,
14:8:31,28200,3891,1154,18,
14:8:31,28300,3900,1155,18,
14:8:32,28400,3910,1159,18,
14:8:32,28500,3922,1162,18,
14:8:32,28600,3938,1167,18,
14:8:32,28700,3948,1170,18,
14:8:32,28800,3954,1172,18,
14:8:32,28900,3975,1177,18,
14:8:32,29000,3983,1183,18,
14:8:32,29100,3991,1188,18,
14:8:32,29200,4005,1191,18,
14:8:32,29300,4025,1203,18,
14:8:32,29400,4045,1207,18,
14:8:32,29500,4066,1211,18,
14:8:32,29600,4079,1214,18,
14:8:32,29700,4095,1217,18,
14:8:32,29800,4108,1220,18,
14:8:32,29900,4123,1221,18,
14:8:32,30000,4134,1223,18,
14:8:32,30100,4152,1227,18,
14:8:32,30200,4169,1234,18,
14:8:32,30300,4178,1236,18,
14:8:32,30400,4194,1237,18,
14:8:33,30500,4212,1250,18,
14:8:33,30600,4226,1254,18,
14:8:33,30700,4247,1254,18,
14:8:33,30800,4259,1256,18,
14:8:33,30900,4281,1259,18,
14:8:33,31000,4296,1264,18,
14:8:33,31100,4303,1270,18,
14:8:33,31200,4310,1271,18,
14:8:33,31300,4323,1277,18,
14:8:33,31400,4339,1278,18,
14:8:33,31500,4351,1283,18,
14:8:33,31600,4364,1288,18,
14:8:33,31700,4384,1295,20,
14:8:33,31800,4398,1298,20,
14:8:33,31900,4410,1300,20,
14:8:33,32000,4422,1304,20,
14:8:33,32100,4444,1307,20,
14:8:33,32200,4460,1313,20,
14:8:33,32300,4474,1316,22,
14:8:33,32400,4479,1319,22,
14:8:34,32500,4494,1322,22,
14:8:34,32600,4511,1325,22,
14:8:34,32700,4526,1329,22,
