#section:000000000003, isUP:1, length:1, detectors:2
#time, lane, vehicle_id, vehicle_type, origin, destination, velocity
001762500,00030100,000978,21,000004,000003,0.00871694
001786700,00020101,001117,21,000002,000003,0.0105725
001788800,00020101,001119,21,000002,000003,0.00940927
001790900,00020101,001122,21,000002,000003,0.008835
001793900,00020101,001126,21,000002,000003,0.0104614
001799200,00020101,001131,21,000002,000003,0.0107607
001801500,00020101,001133,21,000002,000003,0.00940483
001824200,00030100,001093,51,000001,000002,0.0120083
001862000,00030100,001095,51,000001,000002,0.0127926
001863300,00020101,001096,51,000001,000003,0.0128715
001865700,00020101,001098,51,000001,000003,0.0126162
001867900,00030100,001099,51,000001,000002,0.0136288
001873900,00030100,001103,51,000001,000002,0.0143091
001876100,00020101,001104,51,000001,000004,0.0142056
001879200,00030100,001185,51,000001,000003,0.0114683
001892800,00030100,001049,21,000004,000003,0.00727123
001900400,00030100,001110,21,000004,000003,0.00926507
001923300,00030100,001221,21,000004,000003,0.0105696
001925200,00030100,001223,21,000004,000003,0.00987053
001926500,00020101,001140,21,000002,000003,0.00894477
001934900,00020101,001146,21,000002,000003,0.00984915
001937100,00020101,001148,21,000002,000003,0.0089462
001939300,00020101,001150,21,000002,000003,0.00871393
001942900,00020101,001154,21,000002,000003,0.0102677
001945000,00020101,001157,21,000002,000003,0.00917681
001947100,00020101,001159,21,000002,000003,0.00861649
001964200,00020101,001186,51,000001,000004,0.0120083
001965600,00030100,001189,51,000001,000003,0.0122601
001966600,00020101,001190,51,000001,000003,0.0120937
001968000,00030100,001192,51,000001,000003,0.0122594
001969000,00020101,001194,51,000001,000003,0.0124067
001977200,00030100,001199,51,000001,000003,0.0129045
002008800,00020101,001201,51,000001,000003,0.0129
002011200,00020101,001205,51,000001,000004,0.0126732
002013300,00020101,001206,22,000001,000004,0.0125098
002041800,00020101,001240,21,000002,000003,0.00932871
002045800,00020101,001246,21,000002,000003,0.00980516
002057400,00020101,001260,21,000002,000003,0.010136
002066600,00020101,001313,21,000002,000003,0.0105426
002078900,00020101,001322,21,000002,000003,0.0108098
002081200,00020101,001324,21,000002,000003,0.00947776
002091000,00020101,001326,21,000002,000003,0.00923683
002104200,00030100,001264,51,000001,000002,0.0120083
